ingredientes,Caloric Value,Carbohydrates,Protein,Fat,label
"chicken mushroom soup, dill weed fresh",130,15.7,2.3,6.162999999999999,1
"lamp spleen cooked, safflower seed kernels dried",606,9.7,82.69999999999999,25.0,1
"hubbard squash raw, black tea, sugar coated almonds",65,13.2,2.6999999999999997,1.2,1
"pollock raw, chihuahua cheese, nacho cheese tortilla chips, vegetable chips",1139,42.6,107.2,57.800000000000004,0
"spaghetti cooked, hazelnuts roasted, lemon lime soda",708,114.69999999999999,18.1,20.8,0
"pie crust, spaghetti dry",226,32.0,5.2,8.4,1
"pink lentils raw, mozzarella cheese, baby lima beans cooked, beef bologna",1031,150.60000000000002,69.89999999999999,19.1,0
"black beans cooked, haddock cooked, hotcakes with syrup mcdonalds, waffle",1181,167.29999999999998,60.1,30.1,0
"muesli master crumble, pie crust, chocolate frozen yogurt",466,53.0,9.1,16.7,1
"ground turkey raw, salsa verde, pork salami, american grapes",218,1.6,24.935,12.286999999999999,1
"hyacinth beans raw, milk chocolate with rice cereal, chayote cooked",757,134.79999999999998,51.2,4.3,0
"meat vegetable pizza, fruit flavored water",384,47.5,15.0,14.8,1
"sablefish raw, nachos taco bell",1115,36.0,56.9,81.0,0
"prune plums canned, bean with bacon soup, lambs quarters cooked, caraway cheese",297,33.3,18.599999999999998,11.775,1
"soy oil, pupusas del cerdo, orange juice sainsburys",417,28.1,14.0,26.387999999999998,0
"red cabbage cooked, chicken broth, cranberry grape juice, japanese persimmon",316,78.3,5.1,1.2,0
"brown gravy instant, peanut spread, ramen noodle soup dry, vegetable oil spread",572,60.2,13.306999999999999,31.000000000000004,0
"ocean perch cooked, seatrout raw, baking powder, biscuit mcdonalds",559,34.599999999999994,53.8,21.699999999999996,1
"eastern oyster raw, salt mackerel, cocoa powder unsweetened, after eight mints nestle",471,10.6,27.1,36.00000000000001,1
"filet o fish mcdonalds, monkfish cooked, mushrooms raw",420,37.699999999999996,22.599999999999998,20.400000000000002,1
"carob flour, chicken vegetable soup, cracker meal, honey",665,132.6,18.18,7.661,1
"chum salmon raw, pumpkin flowers raw, navy bean sprouts raw, scrambled eggs mcdonalds",176,15.6,15.000000000000002,8.383999999999999,1
"clams raw, japanese chestnuts roasted, dar vida swiss original",368,21.4,34.099999999999994,5.500000000000001,1
"octopus raw, limeade, fennel seeds, cashew nuts raw",314,44.2,9.700000000000001,13.000000000000002,1
"pink lemonade, dungeness crab cooked, portabella mushrooms grilled",261,28.200000000000003,32.400000000000006,2.6,1
"whole wheat bread toasted, gouda cheese, babassu oil",2155,24.3,10.9,228.2,0
"wheat flour, grapes",458,96.30000000000001,12.945,1.244,0
"sirloin steak, fennel",397,17.1,52.4,14.6,1
"croutons seasoned, beets canned, powerade coca cola",264,43.9,6.3,7.509,1
"rice flour white, jalapeno peppers canned, corn pasta dry, celtuce",991,216.50000000000003,18.571,5.788,0
"cured beef dried, white rice steamed, chinook salmon cooked",914,44.760000000000005,84.30000000000001,41.619,0
"turbinado sugar, roselle",46,11.0,0.5,0.4,1
"sweet cinnamon rolls, chives raw, gouda cheese",410,42.900000000000006,12.129999999999999,21.387999999999998,1
"florida pompano raw, egg yolk raw, kit kat nestle, macadamia nuts raw",339,8.899999999999999,24.499999999999996,22.4,1
"sweet cinnamon rolls, pork breakfast strips cooked, chunky peanut butter, roast beef sandwich",819,78.9,34.800000000000004,41.0,0
"garden cress raw, little india little lunch",167,2.5,0.2,10.661999999999999,1
"egg substitute powder, rainbow trout cooked, duck egg, pummelo",423,19.2,42.599999999999994,18.560000000000002,1
"banana, malt beverage",222,53.4,2.1,0.8,1
"ground ostrich cooked, scots kale raw, hibiscus tea",265,20.4,27.099999999999998,8.299999999999999,1
"yoplait light strawberry yogurt yoplait, shark raw, catjang cowpeas cooked",316,34.774,19.8,2.5,1
"sour dressing, clams fried",40,1.6,1.7000000000000002,3.0,1
"potato raw, fruit nut squares, pork centre rib roasts roasted",2161,47.5,215.90000000000003,116.4,0
"red lettuce, indian squash cooked, buttermilk dressing light, cheeseburger mcdonalds",385,44.50000000000001,16.7,16.38,1
"blue crab raw, biscuit mcdonalds, orange marmalade, ground emu raw",485,46.617999999999995,35.114000000000004,17.099999999999998,1
"peas canned, beef tenderloin steak raw, almond oil",582,9.5,35.7,44.199999999999996,1
"taco with chicken cheese lettuce, pork bologna, millet puffed",328,36.300000000000004,20.0,12.5,1
"pita bread, citrus fruit juice, wheat germ oil",399,61.7,6.3,14.357,1
"yellow snap beans raw, drumstick leaves cooked",56,11.8,4.0,0.5,1
"cupu assu oil, taco salad taco bell, sunflower seeds toasted",1855,108.1,58.800000000000004,138.6,0
"sour cherries, cisco smoked, chaptti roti indian bread",593,12.589,12.6,6.2,1
"turkey patty fried, rolo nestle, coleslaw",395,33.0,5.709,24.9,1
"chinese egg roll, mushroom gravy, beef shoulder steak raw",691,37.3,58.6,34.3,1
"sweet sour dressing, lima beans raw",604,113.39999999999999,38.282000000000004,1.2,1
"persimmon, rice pudding, lingcod raw, jellyfish dried",388,29.200000000000003,51.20000000000001,6.0,1
"jews ear, tomato paste canned, mushroom barley soup, rosemary fresh",427,85.60000000000001,16.405,6.895,1
"mustard spinach cooked, summer squash raw",71,13.7,6.2,0.9,1
"watermelon, saffron",88,22.1,1.771,0.492,1
"egg raw, corn muffin",281,34.1,10.9,10.8,1
"green chili pepper, eastern oyster cooked",26,5.0,1.6,0.29700000000000004,1
"soy flour roasted, jalapeno peppers canned",412,35.0,30.900000000000002,19.900000000000002,1
"soft pretzels, russet potato baked",679,143.89999999999998,17.3,4.0,1
"sweet gefilte fish, beef mushroom soup",221,19.0,17.8,8.0,1
"pecans raw, whelk raw, squid fried",932,23.5,31.1,84.5,0
"surimi, chicory greens, corn grits cooked",217,41.199999999999996,9.2,1.596,1
"peach pie, cheese ravioli canned",448,71.5,8.2,15.2,1
"longan, duck fat",46,0.5,0.009,5.076,1
"taro leaves cooked, lamb shoulder cooked",785,5.6,66.4,54.1,0
"fruit nut squares, zaziki milfina, alaska king crab raw, turbot cooked",638,10.3,97.2,18.700000000000003,1
"duck fat, quinoa cooked, caesar salad with grilled chicken mcdonalds, hazelnuts raw",938,63.2,48.4,59.800000000000004,0
"cheese spread, olive oil, baked potato with cheese sauce bacon",1278,52.8,35.4,108.0,0
"chocolate frozen yogurt, porterhouse steak raw, poi",1660,103.0,87.7,97.69999999999999,0
"chicken mcnuggets mcdonalds, nutmeg ground, cornstarch, banana bread",734,151.4,5.4,10.030000000000001,0
"shortbread cookies, spinach spaghetti cooked",222,41.800000000000004,6.9,2.8,1
"lamb kidneys cooked, almond rice bar, onion cooked",484,22.1,62.5,14.934,1
"seatrout cooked, oat bran dinner roll",325,13.3,43.0,10.1,1
"whiting cooked, chuck eye steak raw, fruit juice, beer light",1144,31.700000000000003,90.4,64.1,0
"lingcod raw, nut cereal, black eyed cowpeas raw, burrito with beans",813,109.2,59.5,15.8,0
"pork boston steaks cooked, cheese pizza dominos, potato sticks, hyacinth beans cooked",1131,95.3,73.10000000000001,51.3,0
"haddock smoked, potato sticks",221,19.2,9.5,12.700000000000001,1
"babassu oil, french toast with butter",2105,18.0,5.2,227.4,0
"pork salami, premium crispy chicken club sandwich mcdonalds",676,57.6,41.4,33.3,1
"cottage cheese low fat, chocolate coated marshmallow, meatless meatloaf",391,29.6,40.900000000000006,12.0,1
"roe cooked, muller thurgau white wine, cinnamon raisin bagel",241,20.1,10.7,2.6999999999999997,1
"cherimoya, pink lemonade, thyme dried",538,127.1,12.9,9.3,0
"sucker cooked, sardine canned in oil",458,0.0,63.300000000000004,20.8,1
"spanish peanuts, lamb brain cooked, white bread toasted",1418,38.5,84.2,108.8,0
"red chili peppers, chayote cooked, red cabbage cooked, pink salmon cooked",451,23.0,60.4,13.2,1
"egg custard, root beer, rhubarb raw, cheese pizza pizza hut",766,115.6,26.2,23.5,0
"tilapia raw, pancake syrup",164,13.9,23.3,2.075,1
"gooseberries canned, cottonseed kernels roasted, sweet green peppers canned",963,85.4,51.300000000000004,55.0,0
"truffles, casaba melon, mamey sapote, sour cherries",378,85.30000000000001,6.1000000000000005,5.3999999999999995,0
"caramel med iced coffee dunkin donuts, spelt cooked, milk chocolate",551,55.5,11.2,12.7,1
"chowchow pickles, milk chocolate",333,69.5,4.2,4.300000000000001,1
"tripe soup, rice bran oil",268,8.1,17.2,18.8,1
"whitefish cooked, beef under blade steak raw, vienna bread toasted",1593,18.0,168.3,92.99999999999999,0
"beef tallow, tilapia raw",226,0.0,23.3,14.8,1
"tea with milk and sugar yorkshire, red wine vinegar",18,0.41100000000000003,0.055,0.5,1
"cheese tortellini, snap beans canned, whitefish cooked",663,66.2,55.800000000000004,19.799999999999997,1
"peas onions canned, hungarian pepper, carignane red wine",439,24.1,4.5,0.6,1
"arroz con frijoles, chili pepper sauce red, sisymbrium seeds, drumstick leaves raw",471,81.0,17.9,9.389000000000001,1
"pork top loin roasts roasted, beef tenderloin steak cooked",2002,0.0,261.3,98.8,0
"quince, meatless chicken",428,20.2,40.1,21.412,1
"sesame flour, scallop squash raw, kamut cooked",932,90.69999999999999,51.2,48.3,0
"egg drop soup, fruit jam, egg bagel",193,37.900000000000006,5.6,2.0949999999999998,1
"italian salami, chicken meat raw",2021,0.1,173.29999999999998,142.29999999999998,0
"twix mars, asian pear, almond rice bar",325,49.900000000000006,4.0,13.200000000000001,1
"chinese chestnuts roasted, applesauce, dandelion greens cooked",205,49.0,3.8,1.1,1
"spearmint dried, shoestring french fries, protein bread, stockpot soup",253,32.400000000000006,12.293,8.318,1
"pesca, potato chips barbecue, millet puffed",1074,121.3,17.9,65.0,0
"chocolate snack cake, club soda",200,30.2,1.8,8.0,1
"eggnog, chickpeas cooked",493,65.4,26.1,14.8,1
"egg mix, bakers yeast",48,3.198,3.8,2.5,1
"splenda sweetener, corn chips",498,108.4,1.9,10.0,0
"ham cheese sandwich, rosemary fresh, vanilla yogurt, eggnog",722,77.3,40.705,28.300000000000004,0
"milk chocolate with rice cereal, skittles tropical mars",251,56.3,0.1,2.7,1
"soybean raw, raspberries",835,57.300000000000004,68.0,37.134,0
"chinese chestnuts roasted, crispy chicken drumstick kentucky fried chicken",138,14.8,11.9,3.3,1
"sapodilla, squab meat raw",726,33.9,37.5,49.3,0
"au jus, scallop squash cooked, ham patties",272,12.9,13.000000000000002,19.1,1
"matzo crackers, whiting raw",194,23.4,19.6,1.6,1
"big n tasty with cheese mcdonalds, orange roughy raw, american grapes",597,40.1,31.834999999999997,36.287000000000006,1
"rockfish cooked, queso fresco cheese",527,3.6,55.2,31.5,1
"yellow cake, wasabi root, mammy apple mamey",818,172.4,14.0,14.900000000000002,0
"strawberries canned, poultry seasoning",248,62.699999999999996,1.7999999999999998,1.0,1
"tilapia raw, strawberry topping, green tomato",206,23.200000000000003,25.514,2.496,1
"bluefin tuna raw, turkey gizzard cooked, aspartame sweetener, raspberries",481,90.3,20.8,3.534,1
"mustard spinach raw, walleye pike cooked, breadfruit seeds, kung pao chicken",1017,56.199999999999996,94.9,46.300000000000004,0
"radish pickled, soybean lecithin oil, chinese egg roll, sweet corn yellow",427,46.3,13.2,25.099999999999998,0
"pasta marinara and ground beef sauce, savoury noodle one pan dinner tandaco, rum, baby carrots",267,10.799999999999999,2.531,2.8529999999999998,1
"macadamia nuts raw, emu fillet cooked",645,0.7,123.60000000000001,13.1,1
"parboiled white rice raw, rye dinner roll, green turtle raw",840,172.4,23.9,3.5,0
"ginkgo nuts canned, ostrich top loin raw, sour cherries canned, cinnamon raisin bagel",533,97.30000000000001,26.299999999999997,5.7,1
"pork spareribs raw, radicchio, perch raw",3663,2.9,213.1,304.3,0
"cream cheese fat free, french fries mcdonalds, ling raw",565,51.199999999999996,43.5,19.5,1
"catsup, sponge snack cake, chuck eye steak grilled, danone low fat alsafi",1117,31.488999999999997,78.60000000000001,67.066,0
"cowpeas cooked, sunflower seed flour",94,15.9,7.300000000000001,0.41300000000000003,1
"queso seco cheese, sweet cheese rolls",553,30.8,28.5,35.7,1
"ground emu raw, fructose sweetener, weetabix weetabix",2250,4.2,26.6,16.2,1
"asparagus canned, pepperoni beef",72,10.2,7.9,1.6,1
"pectin, cranberries, dill seeds",204,54.2,1.5,1.214,1
"barley raw, breadfruit seeds, ostrich strip cooked, rice wheat cereal bar",328,34.1,30.4,7.4,1
"grape apple salad with walnuts, chocolate coffee beans",346,41.2,5.6,17.6,1
"gooseberries, stinging nettles, instant lemon tea sweetened, oyster raw",235,46.800000000000004,8.471,2.3070000000000004,1
"beef top sirloin steak cooked, weizenbier erdinger, koyadofu",731,1.7,56.6,48.400000000000006,0
"tomato beef noodle soup, chicken flavored rice raw",882,169.6,26.799999999999997,10.8,0
"big mac mcdonalds, rye bread toasted, shallots dried, chicken wing cooked",700,60.1,33.5,37.312999999999995,1
"chicken crispy wings kentucky fried chicken, white beans cooked",397,50.0,26.599999999999998,10.7,1
"tap water, chicken leg fried",431,13.8,34.4,25.5,1
"chips chipotle, french cruller donut",320,26.5,1.5,14.6,1
"crab cake, maple syrup, salmon nuggets",272,22.5,14.99,13.747,1
"sweet red peppers cooked, chicken back raw, cottage cheese low fat, piki bread",479,30.799999999999997,39.5,21.400000000000002,1
"coconut whole coconut, chocolate milk dessert, fish sauce",3571,52.300000000000004,6.800000000000001,72.91300000000001,0
"queso fresco cheese, amaranth cooked, hard candy",640,55.5,31.400000000000002,33.067,1
"pan dulce bread, luxury loaf, tahini",356,40.8,13.8,15.8,1
"catfish fried, kelp",201,7.5,15.77,11.667,1
"queen crab raw, pesca, hash brown potato",199,15.3,6.6,9.4,1
"turkey meat roasted, ranch flavor tortilla chips",1276,124.23100000000001,57.0,59.9,0
"cod canned, rice flour white",906,126.6,80.4,4.9,0
"pumpernickel roll, sheepshead raw, tomato cooked",356,19.700000000000003,52.300000000000004,6.6,1
"pheasant meat raw, banana pepper, salsa verde, corn chips unsalted",1953,53.3,188.1,103.89999999999998,0
"tomato rice soup, burbot raw",344,44.1,26.599999999999998,6.4,1
"ostrich tenderloin raw, mustard greens raw",120,2.6,20.400000000000002,2.9000000000000004,1
"cream of tartar, romano cheese, borage",46,4.7,3.2,1.9,1
"beef diced asda, corn tortilla, winter squash raw",139,31.2,2.5,1.5999999999999999,1
"tomatoes canned, mayonnaise dressing",180,17.666,4.0,12.399999999999999,1
"praline, walleye pike raw, mixed vegetables canned",425,40.7,35.2,12.6,1
"mushrooms cooked, parmesan cheese, american grapes, lentil sprouts",199,26.3,16.735,5.687,1
"corn flakes, pretzels, sauerkraut canned, french beans raw",881,172.79999999999998,40.6,5.1000000000000005,0
"salsa sauce, parsnips raw, prickly pear cooked, falafel",197,38.8,4.691,3.5820000000000003,1
"cashew nuts raw, beef diced asda, vanilla soymilk light",287,28.4,11.600000000000001,15.2,1
"pork spareribs cooked, chocolate syrup, tomatoseed oil",2739,25.4,52.199999999999996,272.0,0
"loganberries, fruitcake, cheese pizza pizza hut, tempeh",800,91.19999999999999,45.7,32.8,0
"mungo beans cooked, tortilla chips low fat, oyster stew soup, cranberry beans raw",1077,180.9,65.8,12.7,0
"balsamic vinegar, veal heart cooked",382,3.0,57.741,13.4,1
"irishmoss, ham and cheese spread, miso, red cabbage raw",132,18.5,7.437,4.349,1
"chicken strips burger king, blueberry pancakes, plum, jackfruit",252,34.0,9.999999999999998,9.399999999999999,1
"tapioca pearls, peas canned, chocolate pretzels, beef under blade steak raw",1886,152.10000000000002,131.39999999999998,83.493,0
"chocolate rasberry protein mini proteinfx, savoy cabbage raw, meatless chicken fried, wild pink salmon oceans",745,15.399999999999999,29.099999999999998,35.517,0
"almond oil, seatrout raw, ostrich top loin cooked, ground pork raw",829,0.0,84.8,52.0,0
"yellowtail raw, white icicle radish, turnip greens cooked, ground bison cooked",1037,8.9,152.79999999999998,41.6,0
"menhaden fish oil, loquats, wild raspberries",2056,20.4,1.59,218.471,0
"coho salmon cooked, pork arm picnic cooked, tomato vegetable soup, herring fish oil",5724,9.9,596.9,348.90000000000003,0
"ohelo berries, tomato juice",80,18.2,2.6,1.0,1
"enchilada with cheese, petite sirah red wine, serrano pepper, chewing gum",512,28.399999999999995,15.6,25.407,1
"rhubarb cooked, pumpkin squash seeds dried",999,88.7,39.9,63.4,0
"cheese lasagna, boysenberries frozen",382,49.7,17.4,13.3,1
"chum salmon raw, spaghetti with meatballs, fusilli cucina",303,26.299999999999997,9.299999999999999,8.7,1
"canola oil, pinot noir red wine, turbot raw",633,3.4,65.6,26.0,1
"wheat germ bread, tomato soup canned, potato chips barbecue",1182,140.6,24.2,68.3,0
"zucchini raw, sweet sour chicken, red peppers canned",105,16.2,5.6000000000000005,3.1579999999999995,1
"sucker cooked, radicchio, cream of chicken soup",390,20.9,33.5,18.4,1
"tamale navajo, chopped ham",335,34.900000000000006,16.299999999999997,14.3,1
"shark cooked, chuck eye steak raw, tilapia raw",1032,1.8,101.0,68.7,0
"chips chipotle, fruit punch, sesame meal, soybean lecithin oil",513,33.9,5.2,34.699999999999996,0
"crab apple, wheat germ bread",157,35.4,3.1,1.1,1
"chocolate, pummelo, chicken stock",342,45.3,8.6,16.959999999999997,1
"pinto beans canned, whole wheat spaghetti cooked",371,73.6,18.5,2.1,1
"beef lungs cooked, tree fern cooked, cornnuts",547,35.6,64.60000000000001,15.696,1
"pita chips, mock tender steak cooked",274,20.5,25.4,9.5,1
"minced ham, marshmallow, steak sauce",135,20.4,4.0,4.337,1
"conch baked, coleslaw dressing reduced fat",221,9.0,33.4,4.9,1
"ranch flavor tortilla chips, beer light, mock tender steak raw, lobster raw",1448,129.6,82.00000000000001,58.199999999999996,0
"eastern oyster canned, sturgeon raw",140,6.3,16.0,5.1,1
"chocolate fudge syrup, vegetable oil",187,12.0,0.9,15.299999999999999,1
"brownie, beef stock, radish seeds sprouted",290,42.599999999999994,9.0,11.0,1
"wild rice cooked, muffin, white lemonade",415,79.4,10.5,7.103,0
"ostrich strip cooked, poppyseed oil, spaghetti dry",364,21.1,28.7,17.599999999999998,1
"clam tomato juice, cod liver fish oil, taffy, shortening",376,31.9,1.087,27.200000000000003,0
"scallop imitation, corn pasta cooked, oat bran raw",227,47.0,8.600000000000001,1.6,1
"pumpkin canned, pork lungs cooked",380,19.8,52.5,10.0,1
"potato chips fat free, ostrich top loin cooked",992,190.1,45.8,4.699999999999999,0
"beef thymus cooked, salsify raw, lemon juice, celery raw",1384,42.5,88.80000000000001,96.145,0
"baked beans, whole wheat spaghetti dry",408,64.5,15.2,10.700000000000001,1
"muenster cheese, whey protein powder vanilla eas, chocolate pretzels, wheat germ oil",764,9.3,31.7,56.800000000000004,0
"enchilada with cheese, veal meat cooked",857,21.2,78.3,49.1,0
"biscuit with egg cheese bacon, whole wheat bread natures own, tostada with beef cheese, egg substitute powder",927,64.4,52.099999999999994,46.300000000000004,0
"tabasco sauce, asparagus raw, chocolate coated donut",84,9.706,1.245,4.539,1
"turkey steak fried, drumstick pods cooked, aspartame sweetener, lard vegetable oil",701,109.7,13.8,23.8,0
"hard candy, yellow corn raw",630,129.2,15.6,7.9670000000000005,1
"cashew nuts roasted, turnip greens raw, nectarine",258,28.7,7.499999999999999,15.0,1
"beef tallow, sunflower oil, bacon roasted",278,0.1,3.0,29.700000000000003,0
"rutabaga raw, duck fat, queen crab raw",355,66.5,13.5,6.5,1
"turkey giblets cooked, nachos taco bell",526,36.0,30.200000000000003,28.2,1
"instant coffee with water, cheese bread, chili with beans canned",487,52.6,19.799999999999997,24.1,1
"veal meat cooked, crookneck squash cooked",517,6.8,64.8,24.5,1
"coriander leaves dried, dutch apple pie, hyacinth beans raw",1121,188.89999999999998,53.300000000000004,19.398000000000003,0
"cottage cheese low fat, mortadella",210,6.6,30.5,6.1,1
"cucumber peeled, blue mussels cooked, oat bran raw",383,22.6,49.699999999999996,9.7,1
"baking chocolate, blue crab cooked",216,8.7,18.9,15.799999999999999,1
"pork spareribs cooked, chicken and rice casserole homade, navy beans cooked",985,49.8,68.4,55.7,0
"pupusas con queso, oat bran bread",371,38.1,16.8,16.8,1
"popcorn air popped, chocolate covered graham crackers, biscuit large mcdonalds",409,54.900000000000006,7.3,18.0,1
"haddock cooked, ground turkey raw",304,0.0,52.4,9.5,1
"taro leaves cooked, taco with chicken cheese lettuce, pork feet pickled",855,24.929000000000002,69.7,52.300000000000004,0
"lamb kidneys cooked, bluefin tuna raw",390,2.5,66.89999999999999,10.6,1
"snap beans canned, wakame, prunes",339,85.0,8.5,1.4,0
"sprite coca cola, banana bread",266,51.400000000000006,2.6,6.063,1
"ground bison cooked, asparagus raw, lamb heart cooked",803,4.2,111.60000000000001,36.737,0
"chicken crispy breast kentucky fried chicken, hazelnuts raw, water chestnut canned, chocolate soymilk",1069,65.8,47.6,72.515,0
"white wine, prune puree, sardines in tomato sauce canned",332,16.0,19.1,9.32,1
"sweetn sour sauce mcdonalds, flounder cooked",157,11.0,19.599999999999998,3.3,1
"poached egg, veal leg round cooked",646,0.4,104.7,21.9,1
"hard candy, vanilla soymilk light",107,15.3,6.4,2.1670000000000003,1
"water chestnut raw, scrapple, beef plate steak raw",797,34.6,51.8,50.8,0
"snap beans canned, mace ground",91,18.1,3.9,2.1,1
"crispy chicken wing kentucky fried chicken, acerola cherry, blueberry pie, split peas raw",1138,169.8,65.07900000000001,25.152,0
"honey smoked ham cooked, pork blade roll roasted, peanut granola bar",1262,20.4,77.3,95.3,0
"fruit salad canned, tea blueberry muffin tekanne, lime, beef tenderloin steak raw",554,40.0,34.0,30.108,1
"turnips raw, white bread toasted",134,27.200000000000003,4.1,1.3,1
"milk chocolate with almonds, chaptti roti indian bread",707,21.988999999999997,10.7,16.6,0
"chocolate milk dessert, coffeecake with chocolate frosting, waxgourd raw",544,104.0,10.9,11.4,0
"rockfish raw, fruit granola bar, taffy",314,32.3,36.587,3.3000000000000003,1
"papaya, japanese soba noodles cooked, sea bass raw",300,40.099999999999994,30.3,3.1,1
"hazelnuts blanched, non alcoholic wine, pancake syrup",233,19.0,4.0,17.375,1
"shiitake mushrooms raw, okra cooked",41,8.5,3.4,0.33899999999999997,1
"claret red wine, acorn squash raw",294,49.3,3.5,0.4,1
"spanish peanuts, alfalfa seeds, anchovy raw, dar vida swiss original",986,23.602,44.1,76.97500000000001,0
"watermelon, sturgeon raw, pork top loin roasts raw",3760,21.6,474.7,184.3,0
"cardoon raw, canadian style bacon grilled, vanilla yogurt, barbecue sauce mcdonalds",264,41.300000000000004,15.700000000000001,4.6,1
"sapodilla, chocolate pie crust, peanuts raw, popcorn unpopped",1956,195.70000000000002,52.6,115.80000000000001,0
"peppercorn dressing, pork loin cooked, donut with jelly filling, american shad raw",940,33.7,60.6,61.5,0
"sisymbrium seeds, pistachio nuts raw",926,76.9,33.9,59.199999999999996,0
"sandwich with roast beef, anchovy canned in oil",418,44.3,29.8,13.4,1
"avocado, limburger cheese",530,23.1,11.4,47.8,0
"pepper jack cheese lucerne, eisbonbons mac iver, chardonnay white wine, mince pie",743,83.5,9.399999999999999,23.8,0
"glutinous white rice cooked, ground chicken cooked, sweet cheese rolls, pie crust",1002,76.4,68.1,47.800000000000004,0
"lima beans cooked, sunflower seeds toasted",1045,66.9,37.8,76.8,0
"fruchtcocktail granini, amaranth raw, epazote, potato cooked",191,19.694,2.559,1.1660000000000001,1
"lemon juice, whiting cooked",138,16.6,17.799999999999997,1.7999999999999998,1
"sweet chilli kettle baked chips, cusk cooked, virginia peanuts roasted, energy drink sugar free red bull",391,9.9,33.5,17.8,1
"white lemonade, white grapefruit, dinner roll, broccoli raab cooked",255,56.2,7.3999999999999995,2.403,1
"chrysanthemum raw, broccoli cooked, chow mein noodles, jackfruit",400,67.2,14.899999999999999,11.5,1
"grapefruit, tripe soup, lambs quarters raw, elderberries",307,48.169,19.279999999999998,6.167000000000001,1
"bacon ranch salad mcdonalds, turmeric ground, hotcakes sausage mcdonalds, wheat shredded",1328,159.40000000000003,49.0,56.2,0
"acorn squash raw, rice bran bread, biscuit large mcdonalds",548,96.0,11.3,16.0,0
"roe raw, prune puree, lambs quarters cooked",124,20.9,9.3,2.22,1
"tomato sauce with mushrooms, sockeye salmon raw",648,20.7,88.0,22.5,1
"pheasant breast raw, tomato puree canned, beef sandwich steak raw",752,22.5,102.0,27.4,0
"gouda cheese, beef top sirloin steak raw, lemon meringue pie, raisins chocolate coated",2074,118.70000000000002,139.3,116.19999999999999,0
"savoy cabbage raw, mutton tallow, almond oil, pork tongue cooked",810,4.3,57.1,61.617000000000004,0
"orangensaft ja, carob",221,15.5,2.0,7.8,1
"baked chips lays, granola, red potato baked, butternuts dried",1231,63.5,40.099999999999994,85.1,0
"espresso, cream of tartar",11,2.3,0.021,0.086,1
"multigrain cheerios general mills, brazilnuts dried, chervil dried",42,2.5,1.138,3.307,1
"spinach spaghetti cooked, rockfish raw",354,36.6,41.5,3.5,1
"orange with peel, honey mustard dressing",170,28.1,2.2,6.6,1
"chicken nuggets, soybean margarine",95,3.043,3.2520000000000002,7.8999999999999995,1
"oyster stew soup, black bean soup",352,47.8,16.6,11.1,1
"tomato vegetable soup, ground veal cooked, butterfish raw",615,9.9,80.30000000000001,26.0,1
"sablefish cooked, cheesecake, sausage biscuit mcdonalds, yellow cake with chocolate frosting",1998,131.9,72.2,132.6,0
"catfish raw, bluefin tuna raw",230,0.0,30.799999999999997,10.8,1
"poppyseed oil, mushroom gravy",239,13.0,3.0,20.0,1
"broccoli cooked, chow mein stir fry master foods, boston butt steak raw, salsa con queso",1326,48.0,93.60000000000001,81.2,0
"milkfish cooked, rockfish cooked",216,0.0,40.5,4.8,1
"chicken crispy wings kentucky fried chicken, black pepper",154,6.6,9.399999999999999,10.106,1
"biscuit mcdonalds, matzo crackers, pork boston steaks cooked, prairie turnips raw",830,61.199999999999996,51.0,40.729,0
"pumpkin pie, grilled chicken sandwich wendys",686,40.9,7.0,22.4,1
"apple, seaweed dry, pork country style ribs cooked, sliced turkey breast",399,34.7,28.8,16.4,1
"chicken chow mein, oyster fried, baked potato with cheese sauce bacon",1025,101.2,61.3,45.8,0
"tomato puree canned, okra, enchilada with cheese",473,44.599999999999994,19.7,25.882,1
"chicken dumplings soup, apple juice concentrate",585,101.2,14.7,14.200000000000001,0
"brownie, energy drink sugar free red bull, wild rice cooked, chocolate syrup",531,100.5,10.799999999999999,11.0,0
"taro leaves raw, indian squash cooked, peas onions canned, ranch dressing",176,20.700000000000003,6.199999999999999,7.800000000000001,1
"sandwich with tuna salad, egg bread toasted, ham raw",967,74.946,57.4,48.6,0
"beef shoulder steak raw, bluefin tuna cooked",625,0.0,93.1,26.700000000000003,1
"mung beans cooked, zwieback",242,43.900000000000006,14.899999999999999,1.5,1
"tilapia cooked, pepper jack cheese lucerne, mung bean sprouts cooked",210,4.5,30.3,8.4,1
"veal loin cooked, corn chips unsalted, corn flour whole grain, soy chips",1101,155.4,29.900000000000002,40.9,0
"papaya canned, mango, pinot blanc white wine",401,75.0,2.901,1.5,1
"tomato sauce, corn cake",94,20.5,3.5999999999999996,0.8999999999999999,1
"grouper cooked, tap water",238,0.0,50.2,2.6,1
"black beans cooked, raspberries, parboiled white rice raw, english muffin with cheese sausage",1289,218.89999999999998,43.5,25.133999999999997,0
"fish sandwich, buckwheat flour",967,143.4,37.7,31.099999999999998,0
"egg substitute powder, spaghetti squash raw, sorghum",808,156.5,38.0,10.6,0
"onion soup, yellow beans raw, white pepper, oriental radish raw",857,150.9,52.800000000000004,8.9,0
"mexican cheese, rainbow trout raw, olive oil, cream cheese low fat",576,5.0,44.7,42.4,1
"serrano pepper, beef pork bologna",94,2.0,4.699999999999999,7.4750000000000005,1
"gingersnap cookies, alaska king crab cooked, goose fat",204,5.4,26.299999999999997,7.8,1
